vendorName,ediName,issueDate,needNewCat,updatedWLatest,reporter,comments
"Alaffia","EDI-ALAFFIA","","","","","Alaffia catalog as of 2019-07-12"
"Alberts Organics","EDI-ALBERTS","","","","","Alberts catalog as of 2019-05-27"
"Alive and Well","EDI-ALIVEANDWELL","","","","","empty"
"Aloe Life","EDI-ALOE","","","","","Aloe Life catalog as of 2018-04-01"
"Amazing Grass","EDI-AMAZING","","","","","Amazing Grass catalog as of 2019-07-10"
"Ananda Hemp","EDI-ANANDA","","","","","empty"
"Ancient Nutrition","EDI-ANCIENT","","","","","Ancient Nutrition catalog as of 2018-12-01"
"Badger Balm","EDI-BADGER","","","","","Badger Balm catalog as of 2019-07-04"
"Banyan Botanicals","EDI-BANYAN","","","","","empty"
"Barleans Organic Oils","EDI-BARLEANS","","","","","Barleans catalog as of 2018-10-17"
"Bass Brush Company","EDI-BASS","","","","","empty"
"Bees Wrap","EDI-BEESWRAP","","","","","empty"
"Bell Lifestyle Products","EDI-BELL-LIFE","","","","","Bell Lifestyle catalog as of 2019-07-11"
"BeTru Wellness","EDI-BETRU","","","","","BeTru catalog as of 2018-05-01"
"Bluebonnet Nutrition","EDI-BBONNET","","","","","Bluebonnet catalog as of 2019-07-09"
"Bluegrass Hemp","EDI-BLUEHEMP","","","","","empty"
"BlueQ","EDI-BLUEQ","","","","","BlueQ catalog as of 2019-07-12"
"Bodyceuticals","EDI-BODYCEUTICALS","","","","","Bodyceutical catalog as of 2017-02-01"
"Boiron","EDI-BOIRON","","","","","Boiron catalog as of 2019-07-15"
"Buried Treasure","EDI-TREASURE","","","","","Buried Treasure catalog as of 2019-07-05"
"Burmeister Ginseng","EDI-BURMEISTER","","","","","empty"
"Carlson Labs","EDI-CARLSON","","","","","Carlson Labs catalog as of 2019-07-17"
"Catapult","Catapult","","","","","VIEW"
"Charlottes Web","EDI-CHARLOTTE","","","","","Charlottes Web catalog as of 2019-06-01"
"ChicoBag","EDI-CHICO","","","","","ChicoBag catalog as of 2017-12-28"
"CocoRoo","EDI-COCOROO","","","","","empty"
"Country Life","EDI-CLIFE","","","","","Country Life catalog as of 2017-03-27"
"Crosset","EDI-CROSSET","","","","","Crosset catalog as of 2018-12-30"
"CV Sciences","EDI-CVSCIENCES","","","","","CV Sciences catalog as of 2019-04-30"
"Dirt Bag Beauty","EDI-DIRTBAG","","","","","empty"
"Down To Earth","EDI-DOWNTOEARTH","","","","","Down To Earth catalog as of 2018-01-23"
"Dr. Dunner","EDI-DRDUNNER","","","","","empty"
"Earth Dreams Jewelry","EDI-EARTHDREAMS","","","","","Earth Dreams catalog as of 2017-12-07"
"EarthyBrowns","EDI-EARTHY","","","","","EarthyBrowns catalog as of 2017-06-22"
"eeBoo","EDI-EEBOO","","","","","empty"
"Enzymedica","EDI-ENZYME","","","","","Enzymedica catalog as of 2019-07-15"
"Flora Health","EDI-FLORA","","","","","Florahealth catalog as of 2019-07-17"
"Frontier Coop","EDI-FRONTIER","","","","","Frontier catalog data as of 2017-11-01"
"Frontier Distributing","EDI-FRONTDIST","","","","","Frontier Distribution catalog as of 2017-02-22"
"Fungi Perfecti","EDI-FUNGI","","","","","Fungi Perfecti catalog as of 2018-09-01"
"Gaia Herbs","EDI-GAIA","","","","","Gaia catalog as of 2019-07-09"
"Garden of Life","EDI-GARDEN","","","","","GOL catalog as of 2019-04-30"
"Graeters","EDI-GRAETERS","","","","","empty"
"Heine Brothers Coffee","EDI-HEINE","","","","","Heine Brothers catalog as of 2017-03-01"
"HempFusion","EDI-HEMPFUSION","","","","","HempFusion catalog as of 2018-12-14"
"Herbs Etc.","EDI-HERBSETC","","","","","Herbs Etc catalog as of 2017-05-25"
"Himalaya","EDI-HIMALAYA","","","","","Himalaya catalog as of 2017-04-01"
"Hippie Homesteader","EDI-HIPPIEHOME","","","","","Hippie Homesteader catalog as of 2019-01-30"
"Humble Brands","EDI-HUMBLE","","","","","Humble Brands catalog as of 2018-09-23"
"Indigo Wild","EDI-INDIGO","","","","","Indigo Wild catalog as of 2017-11-20"
"Indy Fruit","EDI-INDYFRUIT","","","","","Indy Fruit catalog as of 2019-07-17"
"Irwin Naturals","EDI-IRWIN","","","","","Irwin Naturals catalog as of 2016-07-16"
"Jack N Jill","EDI-JACKNJILL","","","","","empty"
"Juniper Ridge","EDI-JUNIPER","","","","","Juniper Ridge catalog as of 2018-09-05"
"KeHE","EDI-KEHE","","","","","KeHE catalog as of 2019-07-10"
"Klean Kanteen","EDI-KANTEEN","","","","","Klean Kanteen catalog as of 2018-01-01"
"LifeFactory","EDI-LIFEFACTORY","","","","","Lifefactory catalog as of 2017-10"
"LifeSeasons","EDI-LIFESEASONS","","","","","LifeSeasons catalog as of 2019-03-26"
"Lotsa Pasta","EDI-LOTSAPASTA","","","","","empty"
"Lotus Light","EDI-LOTUS","","","","","Lotus Light catalog as of 2017-11-01"
"Maggies Organics","EDI-MAGGIES","","","","","Maggies catalog as of 2018-10-30"
"Marquet Fair Trade","EDI-MARQUET","","","","","Marquet catalog as of 2018-11-01"
"Matrix Aromatherapy","EDI-MATRIX","","","","","empty"
"MegaFood","EDI-MEGAFOOD","","","","","MegaFood catalog as of 2017-05-03"
"MG12","EDI-MG12","","","","","MG12 catalog as of 2017-05-23"
"Mineral Fusion","EDI-MINERAL","","","","","Mineral Fusion catalog as of 2018-06-01"
"Momma Goose","EDI-MOMMAGOOSE","","","","","Momma Goose catalog as of 2018-03-22"
"Motherlove","EDI-MOTHERLOVE","","","","","Motherlove catalog as of 2018-04-01"
"My Magic Mud","EDI-MYMAGICMUD","","","","","My Magic Mud catalog as of 2018-10-10"
"Nantucket Spider","EDI-SPIDER","","","","","Nantucket Spider catalog as of 2017-10-16"
"Natren","EDI-NATREN","","","","","Natren catalog as of 2017-07-15"
"Natural Factors","EDI-NATFACT","","","","","Natural Factors catalog as of 2017-02-21"
"Natures Plus","EDI-NATURESPLUS","","","","","Natures Plus catalog as of 2017-04-21"
"Natures Way","EDI-NATWAY","","","","","Natures Way catalog as of 2016-10-28"
"New Chapter","EDI-NEWCHAPTER","","","","","New Chapter catalog as of 2016-12-19"
"New Wave Enviro","EDI-NWENVIRO","","","","","New Wave Enviro catalog as of 2017-06-21"
"Nordic Naturals","EDI-NORDIC","","","","","Nordic Naturals catalog as of 2019-07-15"
"Now Foods","EDI-NOW","","","","","Now Foods catalog as of 2016-10-27"
"Nutraceutical Corp","EDI-NUTRA","","","","","Nutraceutical catalog as of 2019-01-09"
"Nutranext","EDI-NUTRANEXT","","","","","empty"
"NutraSpark","EDI-NUTRASPARK","","","","","NutraSpark catalog as of 2017-01-25"
"NutriGold","EDI-NUTRIGOLD","","","","","NutriGold catalog as of 2018-02-23"
"OR Supplements","EDI-ORSUPPS","","","","","empty"
"Oregons Wild Harvest","EDI-OWHARVEST","","","","","Oregons Wild Harvest catalog as of 2017-08-01"
"Organic India","EDI-ORGANICINDIA","","","","","Organic India catalog as of 20180518"
"Organic Living Superfood","EDI-ORGLIVINGSPR","","","","","Organic Living Superfoods catalog as of 2017-01-25"
"Palko Distributing Co.","EDI-PALKO","","","","","Palko catalog as of 2018-09-01"
"Pangea Organics","EDI-PANGEA","","","","","empty"
"Pans Mushroom Jerky","EDI-PMJERKY","","","","","empty"
"Peace of the Earth","EDI-PEACEEARTH","","","","","Peace of the Earth catalog as of 2018-03-22"
"Phocus","EDI-PHOCUS","","","","","empty"
"Plantlife","EDI-PLANTLIFE","","","","","Plantlife catalog as of 2018-04-01"
"Pranarom","EDI-PRANA","","","","","Pranarom catalog as of 2019-01-21"
"PTFit","EDI-PTFIT","","","","","empty"
"Rainbow Grab & Go","EDI-GRABANDGO","","","","","empty"
"Redd Remedies","EDI-REDD","","","","","Redd Remedies catalog as of 2018-03-01"
"Renew Life","EDI-RENEW","","","","","Renew Life catalog as of 2018-06-01"
"Republic of Tea","EDI-REPOFTEA","","","","","Republic of Tea catalog as of 2017-04-27"
"Select Nutrition","EDI-SELECT","","","","","Select catalog as of 2018-09-01"
"Sol Food Soaps","EDI-SOLSOAPS","","","","","Sol Foods Soaps catalog as of 2018-03-13"
"Solgar","EDI-SOLGAR","","","","","Solgar catalog as of 2019-06-05"
"SoulKu","EDI-SOULKU","","","","","SoulKu catalog as of 2017-11-07"
"Sovereign Silver","EDI-SOVEREIGN","","","","","Sovereign Silver catalog as of 2018-05-15"
"Sukin","EDI-SUKIN","","","","","Sukin catalog as of 2018-04-01"
"Superieur Electrolytes","EDI-SUPERIEUR","","","","","Superieur Electrolytes catalog as of 2019-07-09"
"TerraNatural","EDI-TERRANAT","","","","","empty"
"Threshold Enterprises","EDI-THRESHOLD","","","","","Threshold catalog as of 2018-05-14"
"Town & Country","EDI-TANDC","","","","","Town and Country catalog as of 2018-01-03"
"Trace Minerals","EDI-TRACE","","","","","Trace Minerals catalog as of 2016-12-12"
"Ultimate Superfoods","EDI-ULTSUPERFOODS","","","","","Ultimate SuperFoods catalog as of 2016-12-20"
"UNFI Greenwood","EDI-UNFI","","","","","UNFI catalog as of 2019-07-18"
"Vega - U.S.","EDI-VEGA","","","","","empty"
"Vibrant Health","EDI-VIBRANT","","","","","Vibrant Health catalog as of 2018-01-01"
"Vital Leaf","EDI-VITALLEAF","","","","","empty"
"Vital Proteins","EDI-VITAL","","","","","Vital Proteins catalog as of 2018-08-01"
"Vitanica","EDI-VITANICA","","","","","Vitanica catalog as of 2019-06-05"
"Wells Made Foods","EDI-WELLSMADE","","","","","empty"
"Wholesome Pet","EDI-WHOLESOME","","","","","Wholesome Pet catalog as of 2016-12-19"
"WishGarden","EDI-WISHGARDEN","","","","","WishGarden catalog as of 2018-12-20"